tracking_event_id,shipment_id,event_timestamp,event_type,event_location,latitude,longitude,event_source,event_payload,created_at
1,1,2026-03-07T09:19:38+00:00,created,Hub 21,52.213074,-7.396306,iot_gateway,"{""shipment_id"": 1, ""status"": ""created"", ""source_quality"": ""medium""}",2026-03-07T09:24:38+00:00
2,1,2026-03-07T12:45:32+00:00,picked_up,Hub 24,52.112602,-4.563327,mobile_app,"{""shipment_id"": 1, ""status"": ""picked_up"", ""source_quality"": ""medium""}",2026-03-07T12:47:32+00:00
3,1,2026-03-07T16:10:26+00:00,departed_warehouse,Hub 17,44.640678,13.470617,mobile_app,"{""shipment_id"": 1, ""status"": ""departed_warehouse"", ""source_quality"": ""high""}",2026-03-07T16:17:26+00:00
4,1,2026-03-07T19:18:20+00:00,in_transit,Hub 13,39.972971,3.442772,carrier_api,"{""shipment_id"": 1, ""status"": ""in_transit"", ""source_quality"": ""high""}",2026-03-07T19:24:20+00:00
5,1,2026-03-07T22:26:14+00:00,arrived_hub,Hub 14,36.747589,-5.333166,tms,"{""shipment_id"": 1, ""status"": ""arrived_hub"", ""source_quality"": ""medium""}",2026-03-07T22:34:14+00:00
6,1,2026-03-08T01:39:08+00:00,out_for_delivery,Frankfurt,44.157341,5.730134,mobile_app,"{""shipment_id"": 1, ""status"": ""out_for_delivery"", ""source_quality"": ""medium""}",2026-03-08T01:45:08+00:00
7,1,2026-03-08T04:18:02+00:00,delivered,Frankfurt,52.961888,-1.061096,carrier_api,"{""shipment_id"": 1, ""status"": ""delivered"", ""source_quality"": ""high""}",2026-03-08T04:26:02+00:00
8,2,2025-05-25T12:23:59+00:00,created,Hub 04,36.041059,-3.778789,carrier_api,"{""shipment_id"": 2, ""status"": ""created"", ""source_quality"": ""low""}",2025-05-25T12:28:59+00:00
9,2,2025-05-25T18:50:59+00:00,picked_up,Hub 17,45.321857,2.379568,mobile_app,"{""shipment_id"": 2, ""status"": ""picked_up"", ""source_quality"": ""medium""}",2025-05-25T18:56:59+00:00
10,2,2025-05-26T02:23:59+00:00,departed_warehouse,Hub 14,36.466053,8.617401,manual,"{""shipment_id"": 2, ""status"": ""departed_warehouse"", ""source_quality"": ""high""}",2025-05-26T02:31:59+00:00
11,2,2025-05-26T09:07:59+00:00,in_transit,Hub 01,42.292345,3.402717,carrier_api,"{""shipment_id"": 2, ""status"": ""in_transit"", ""source_quality"": ""medium""}",2025-05-26T09:13:59+00:00
12,2,2025-05-26T17:51:59+00:00,arrived_hub,Hub 11,36.650363,12.157634,tms,"{""shipment_id"": 2, ""status"": ""arrived_hub"", ""source_quality"": ""low""}",2025-05-26T18:00:59+00:00
13,2,2025-05-27T00:20:59+00:00,out_for_delivery,Madrid,46.139184,11.277489,mobile_app,"{""shipment_id"": 2, ""status"": ""out_for_delivery"", ""source_quality"": ""medium""}",2025-05-27T00:26:59+00:00
